Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         1.000000	    0.987051	    0.987469
         2.000000	    0.972908	    0.973967
         3.000000	    0.956746	    0.958811
         4.000000	    0.938860	    0.942186
         5.000000	    0.919681	    0.924377
         6.000000	    0.899482	    0.905522
         7.000000	    0.878496	    0.885755
         8.000000	    0.856933	    0.865239
         9.000000	    0.834992	    0.844125
        10.000000	    0.812862	    0.822541
        11.000000	    0.790703	    0.800604
        12.000000	    0.768641	    0.778424
        13.000000	    0.746792	    0.756101
        14.000000	    0.725260	    0.733728
        15.000000	    0.704123	    0.711383
        16.000000	    0.683439	    0.689132
        17.000000	    0.663257	    0.667034
        18.000000	    0.643619	    0.645147
        19.000000	    0.624552	    0.623514
        20.000000	    0.606074	    0.602176
        21.000000	    0.588193	    0.581161
        22.000000	    0.570908	    0.560492
        23.000000	    0.554213	    0.540189
        24.000000	    0.538107	    0.520275
        25.000000	    0.522616	    0.500791
        26.000000	    0.507743	    0.481759
        27.000000	    0.493439	    0.463161
        28.000000	    0.479673	    0.444997
        29.000000	    0.466456	    0.427297
        30.000000	    0.453760	    0.410051
        31.000000	    0.441512	    0.393204
        32.000000	    0.429677	    0.376740
        33.000000	    0.418263	    0.360679
        34.000000	    0.407282	    0.345045
        35.000000	    0.396746	    0.329859
        36.000000	    0.386604	    0.315090
        37.000000	    0.376781	    0.300684
        38.000000	    0.367265	    0.286642
        39.000000	    0.358067	    0.272988
        40.000000	    0.349178	    0.259732
        41.000000	    0.340576	    0.246872
        42.000000	    0.332229	    0.234375
        43.000000	    0.324111	    0.222214
        44.000000	    0.316208	    0.210390
        45.000000	    0.308513	    0.198910
        46.000000	    0.301015	    0.187778
        47.000000	    0.293709	    0.176997
        48.000000	    0.286598	    0.166562
        49.000000	    0.279676	    0.156483
        50.000000	    0.272926	    0.146785
        51.000000	    0.266321	    0.137472
        52.000000	    0.259823	    0.128524
        53.000000	    0.253421	    0.119937
        54.000000	    0.247119	    0.111719
        55.000000	    0.240906	    0.103870
        56.000000	    0.234757	    0.096395
        57.000000	    0.228671	    0.089344
        58.000000	    0.222655	    0.082786
        59.000000	    0.216724	    0.076735
        60.000000	    0.210885	    0.071191
        61.000000	    0.205095	    0.066196
        62.000000	    0.199313	    0.061793
        63.000000	    0.193558	    0.058004
        64.000000	    0.187840	    0.054843
        65.000000	    0.182119	    0.052323
        66.000000	    0.176375	    0.050435
        67.000000	    0.170647	    0.049131
        68.000000	    0.164951	    0.048377
        69.000000	    0.159258	    0.048176
        70.000000	    0.153553	    0.048445
        71.000000	    0.147854	    0.049008
        72.000000	    0.142170	    0.049786
        73.000000	    0.136504	    0.050788
        74.000000	    0.130854	    0.051928
        75.000000	    0.125216	    0.053059
        76.000000	    0.119610	    0.054141
        77.000000	    0.114066	    0.055190
        78.000000	    0.108577	    0.056171
        79.000000	    0.103129	    0.057034
        80.000000	    0.097748	    0.057773
        81.000000	    0.092473	    0.058381
        82.000000	    0.087353	    0.058800
        83.000000	    0.082411	    0.058993
        84.000000	    0.077592	    0.059027
        85.000000	    0.072874	    0.058943
        86.000000	    0.068358	    0.058684
        87.000000	    0.064110	    0.058227
        88.000000	    0.060103	    0.057625
        89.000000	    0.056366	    0.056881
        90.000000	    0.053008	    0.055924
        91.000000	    0.050028	    0.054793
        92.000000	    0.047310	    0.053637
        93.000000	    0.044849	    0.052456
        94.000000	    0.042730	    0.051135
        95.000000	    0.040905	    0.049750
        96.000000	    0.039253	    0.048477
        97.000000	    0.037710	    0.047289
        98.000000	    0.036264	    0.046071
        99.000000	    0.035039	    0.044796
       100.000000	    0.034098	    0.043496
       101.000000	    0.033013	    0.042293
       102.000000	    0.031430	    0.041271
       103.000000	    0.029757	    0.040288
       104.000000	    0.028383	    0.039198
       105.000000	    0.027227	    0.037957
       106.000000	    0.026189	    0.036581
       107.000000	    0.025278	    0.035153
       108.000000	    0.024501	    0.033699
       109.000000	    0.023845	    0.032135
       110.000000	    0.023299	    0.030452
       111.000000	    0.022856	    0.028744
       112.000000	    0.022458	    0.027024
       113.000000	    0.021993	    0.025245
       114.000000	    0.021323	    0.023550
       115.000000	    0.020322	    0.022189
       116.000000	    0.019140	    0.021037
       117.000000	    0.018039	    0.019804
       118.000000	    0.017007	    0.018502
       119.000000	    0.015932	    0.017255
       120.000000	    0.014815	    0.016057
