(null)
File:    D0deg.mdt
Date:    Thursday, September 21, 2017
Time:    12:59:00
Lens Name:    
Lens ID:    
Operator:    
Focal Length:     -18.13
F#:       9.00
Defocus:       0.00

Configuration Name:    Intraoral

Scan Type:    Both
TestMode:    Infinite
Object Type:    Pinhole
Object Size (microns):     101.00
Field Angle:       0.00
Magnification of Lens Under Test:       0.05
Relay Lens Magnification:      20.02
Collimator Focal Length (mm) :     353.93
Typical WaveLength:     550.00

Focusing Lens Focal Length (mm) :      10.00
Entrance Pupil Diameter (mm) :      20.00
Exit Pupil Diameter (mm) :      20.00
Camera Name:    20x 0.40NA
CCD MTF Horizontal Vertical
Freq lp/mm   % Modulation   % Modulation:
   0.00	    1.00	    1.00 
   5.00	    0.99	    0.99 
  10.00	    0.96	    0.96 
  15.00	    0.92	    0.92 
  20.00	    0.86	    0.86 
  25.00	    0.78	    0.78 
  30.00	    0.70	    0.70 
  35.00	    0.60	    0.60 
  40.00	    0.50	    0.50 
  45.00	    0.40	    0.40 
CCD Pixel Spacing (microns) :       7.50	    7.50
Combined Maximum Spatial Frequency:    1334.98	 1334.80
Frame Grabber Size:      648	   483
Active Pixel Size:      648	   483
Trace Length Used:      256
Trace Width Used:      256
Position X:      346
Position Y:      227
Number of Frames:        5
Comments:  



ADDITIONAL TEXT DATA:
Spline Fit Is Enabled?:   0
Number of Points Inserted In Spline Fit:        3
MTF Algorithm (0-FFT; 1-FFT/wABC; 2-FFT/wBeta; 3-Sin-Cos FT; 4-Sin-Cos FT/wABC):        1




Freq (lp/mm)       MTF X               PTF X              Freq(lp/mm)        MTF Y                  PTF Y  
0.000              100.000            0.000              0.000              100.000            0.000             
10.430             86.630             -1.164             10.428             88.315             7.738             
20.859             59.666             2.989              20.856             66.407             -20.956           
31.289             39.861             1.210              31.284             49.758             -4.197            
41.718             25.995             2.575              41.712             29.812             -4.914            
52.148             17.462             -0.668             52.141             24.022             1.269             
62.577             13.326             1.224              62.569             18.482             12.031            
73.007             11.290             -0.896             72.997             12.064             19.716            
83.436             8.545              -3.295             83.425             11.843             18.047            
93.866             7.129              -0.368             93.853             9.621              23.704            
104.295            5.449              1.906              104.281            9.142              -0.691            
114.725            3.067              -5.227             114.709            6.130              -3.504            
125.154            1.274              -0.639             125.137            3.314              -13.426           
135.584            0.398              -29.800            135.566            0.923              -51.120           
146.013            0.025              -180.000           145.994            0.797              -34.223           
156.443            0.146              -180.000           156.422            0.434              -119.961          
166.872            0.154              -180.000           166.850            0.387              -13.872           
177.302            0.083              -180.000           177.278            0.367              -150.112          
187.731            0.147              -180.000           187.706            0.301              -180.000          
198.161            0.064              -180.000           198.134            0.276              -145.848          
208.590            0.068              -180.000           208.562            0.178              43.997            
219.020            0.067              -180.000           218.991            0.300              -134.173          
229.449            0.063              -180.000           229.419            0.165              -180.000          
239.879            0.084              -180.000           239.847            0.195              -120.606          
250.308            0.095              -180.000           250.275            0.211              -180.000          
260.738            0.029              -180.000           260.703            0.175              -88.408           
271.167            0.089              -180.000           271.131            0.138              -180.000          
281.597            0.081              -180.000           281.559            0.218              -82.612           
292.026            0.052              -180.000           291.987            0.142              109.008           
302.456            0.068              -180.000           302.416            0.224              -73.979           
312.885            0.058              -180.000           312.844            0.162              122.687           
323.315            0.092              -180.000           323.272            0.111              -48.807           
333.744            0.117              -180.000           333.700            0.213              151.274           
344.174            0.045              -180.000           344.128            0.203              -39.500           
354.604            0.051              -180.000           354.556            0.162              150.769           
365.033            0.030              -180.000           364.984            0.170              -19.058           
375.463            0.064              -180.000           375.412            0.170              156.509           
385.892            0.050              -180.000           385.841            0.173              -12.980           
396.322            0.038              -180.000           396.269            0.135              172.893           
406.751            0.062              -180.000           406.697            0.132              42.207            
417.181            0.039              -180.000           417.125            0.153              180.000           
427.610            0.074              -180.000           427.553            0.138              13.967            
438.040            0.064              -180.000           437.981            0.128              180.000           
448.469            0.064              -180.000           448.409            0.150              22.327            
458.899            0.026              -180.000           458.837            0.126              180.000           
469.328            0.081              -180.000           469.266            0.146              24.948            
479.758            0.045              -180.000           479.694            0.177              180.000           
490.187            0.033              -180.000           490.122            0.086              45.392            
500.617            0.098              -180.000           500.550            0.147              180.000           
511.046            0.033              -180.000           510.978            0.136              92.639            
521.476            0.079              -180.000           521.406            0.091              180.000           
531.905            0.017              -180.000           531.834            0.133              83.847            
542.335            0.071              -180.000           542.262            0.139              180.000           
552.764            0.021              -180.000           552.691            0.118              117.236           
563.194            0.026              -180.000           563.119            0.153              180.000           
573.623            0.075              -180.000           573.547            0.050              96.640            
584.053            0.025              -180.000           583.975            0.123              180.000           
594.482            0.035              -180.000           594.403            0.060              150.856           
604.912            0.067              -180.000           604.831            0.079              180.000           
615.341            0.034              -180.000           615.259            0.069              164.853           
625.771            0.020              -180.000           625.687            0.160              180.000           
636.200            0.038              -180.000           636.116            0.118              180.000           
646.630            0.051              -180.000           646.544            0.102              180.000           
657.059            0.030              -180.000           656.972            0.093              180.000           
667.489            0.050              -180.000           667.400            0.102              180.000           
677.918            0.019              -180.000           677.828            0.143              180.000           
688.348            0.057              -180.000           688.256            0.133              180.000           
698.778            0.022              -180.000           698.684            0.118              180.000           
709.207            0.049              -180.000           709.112            0.131              180.000           
719.637            0.058              -180.000           719.541            0.116              180.000           
730.066            0.064              -180.000           729.969            0.114              180.000           
740.496            0.027              -180.000           740.397            0.099              180.000           
750.925            0.065              -180.000           750.825            0.071              180.000           
761.355            0.001              -180.000           761.253            0.092              180.000           
771.784            0.053              -180.000           771.681            0.169              180.000           
782.214            0.024              -180.000           782.109            0.125              180.000           
792.643            0.014              -180.000           792.537            0.122              180.000           
803.073            0.036              -180.000           802.966            0.064              180.000           
813.502            0.054              -180.000           813.394            0.110              180.000           
823.932            0.019              -180.000           823.822            0.042              180.000           
834.361            0.042              -180.000           834.250            0.082              180.000           
844.791            0.034              -180.000           844.678            0.070              180.000           
855.220            0.057              -180.000           855.106            0.084              180.000           
865.650            0.017              -180.000           865.534            0.087              180.000           
876.079            0.036              -180.000           875.962            0.078              180.000           
886.509            0.018              -180.000           886.391            0.050              180.000           
896.938            0.037              -180.000           896.819            0.054              180.000           
